Column 1,Facility Type,Inmate Sex,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Newspaper Delivery Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Inmate Search Link,Contact Via Email,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Calumet County Sheriff,Sheriff Office,Both,Wisconsin,Chilton,53014,"206 Court St, Chilton, WI 53014","206 Court St, Chilton, WI 53014",, (920) 849-2335,https://www.co.calumet.wi.us/211/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester County Sheriff's Office,Sheriff Office,Both,South Carolina,Chester,29706," 2740 Dawson Dr, Chester, SC 29706","2740 Dawson Dr, Chester, SC 29706",,(803) 581-5131,"
https://www.chesterscsheriff.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookings County Sheriff,Sheriff Office,Both,South Dakota,Brookings,57006,"315 7th Ave, Brookings, SD 57006","315 7th Ave, Brookings, SD 57006",, (605) 696-8300,https://www.brookingscountysd.gov/230/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cass County Sheriff's Department,Sheriff Office,Both,Indiana ,logansport,46947,"100 Court St,logansport,IN 46947"," 100 Court St,logansport,IN 46947",,(574)753-7800,https://www.in.gov/counties/cass/departments/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dona Ana County Sherriff’s Office,Sheriff Office,Both,New Mexico,Cruces,88007,"845 N Motel blvd D,las Cruces,NM 88007","845 N Motel blvd D,las Cruces,NM 88007",,(575)525-1911,https://www.lea.nm.gov/satellite-academies/dona-ana-county-sherriffs-office-daso-training-academy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine County Jail,County Jail,Both,Wisconsin,Racine,53403,"717 Wisconsin Ave, Racine, WI 53403","717 Wisconsin Ave, Racine, WI 53403",, (262) 636-3929,https://www.racinecounty.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pondera County Sheriff,Sheriff Office,Both,Montana,Conrad,59425,"20 4th Ave SW, Conrad, MT 59425","20 4th Ave SW, Conrad, MT 59425",, (406) 271-4060,https://www.ponderacountymontana.org/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne County Jail Division 1,County Jail,Both,Michigan ,Detroit,48226," 570 Clinton St, Detroit,MI 48226"," 570 Clinton St, Detroit,MI 48226",,(313)224-0797,https://www.sheriffconnect.com/wayne-county-jail-inmate-information/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinal County Sheriff Office,Sheriff Office,Both,Arizona,Florence,85132," 971 Jason lopez Cir,Florence,AZ 85132","971 Jason lopez Cir,Florence,AZ 85132",, (520) 866-5111,https://www.pinal.gov/1005/Reentry-Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churchill County Sheriff's,Sheriff Office,Both,Nevada,Fallon,89406,"180 WA St,Fallon,NV 89406","180 WA St,Fallon,NV 89406",,(775)423-3116,https://www.churchillcountynv.gov/170/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott County Sheriff's Office,Sheriff Office,Both,Kentucky,Georgetown,40324," 240 Caleb Conley WY,Georgetown,KY 40324","240 Caleb Conley WY,Georgetown,KY 40324",, (502) 863-7855,https://scottsheriffky.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott County Sheriff's Office,Sheriff Office,Both,Iowa,Davenport,52801,"400 W 4th St,Davenport,IA 52801","400 W 4th St,Davenport,IA 52801",,(563) 326-8625,https://www.scottcountyiowa.gov/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian County Sheriffs Office,Sheriff Office,Both,Illinois ,Taylorville,62568,"301 W Franklin St,Taylorville,IL 62568","301 W Franklin St,Taylorville,IL 62568",,"(217) 824-4961",https://christiancountysheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horry County Sheriff's Office,Sheriff Office,Both,South Carolina,Conway,29526," 1301 2nd Ave # 1D09, Conway, SC 29526","P.O. Box 380
Conway, SC 29528",,(843) 915-5450,https://www.horrycountysc.gov/departments/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnehaha County Jail,County Jail,Both,South Dakota,Sioux Falls,57104,"305 W 4th St, Sioux Falls, SD 57104"," 305 W 4th St, Sioux Falls, SD 57104",,(605) 367-4321,https://www.minnehahacounty.gov/dept/so/divisions/jail/jail.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will County Sheriff' Office,Sheriff Office,Both,Illinois ,Joliet,60433,"16911 W Laraway Rd Suite 101, Joliet, IL 60433"," 16911 W Laraway Rd Suite 101, Joliet, IL 60433",,(815) 727-8575,https://www.willcosheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond County Sheriff's Office,Sheriff Office,Both,Georgia,Augusta,30901,"400 Walton Way, Augusta, GA 30901","400 Walton Way, Augusta, GA 30901",,706-821-1000,https://www.richmondcountysheriffsoffice.com/index.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Northumberland County Sheriff's Department",Sheriff Office,Both,Pennsylvania ,Sunbury,17801,"201 Market St,Sunbury,PA 17801"," 201 Market St,Sunbury,PA 17801",, (570)988-4155,https://northumberlandcountypa.gov/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Long County Sheriff's Office",Sheriff Office,Both,Georgia ,Ludowici,31316,"6 E Academy St, Ludowici, GA 31316","P.O. Box 368 • Ludowici, Georgia 31316",,(912) 545-2118,https://www.longcountyso.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecklenburg County Jail-North,County Jail,Both,North Carolina,Charlotte,28202,"700 E. 4th Street,
Charlotte, NC 28202","700 E. 4th Street,
Charlotte, NC 28202",,(704) 336-8100,https://www.mecksheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County Jail,County Jail,Both,New York,Rochester,14614,"130 Plymouth Ave. South
Rochester, NY 14614","130 Plymouth Ave. South
Rochester, NY 14614",,(585) 753-4178,https://monroecountysheriff-ny.gov/our-bureaus/jail-bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County Sheriff,Sheriff Office,Both,Kansas,New Century,66031," 27747 159th St,New Century,KS 66031","27747 159th St,New Century,KS 66031",,913-715-5400,https://www.jocogov.org/johnson-county-sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta County Sheriff’s Office,Sheriff Office,Both,Texas,Cooper,75432,"200 W Bonham Ave, Cooper, TX 75432","200 W Bonham Ave, Cooper, TX 75432",,(903) 395-2146,https://www.deltacountytx.com/sheriffs-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia County Sheriff,Sheriff Office,Both,Oregon,St Helens,97051,"901 Port Ave, St Helens, OR 97051","901 Port Ave, St Helens, OR 97051",,(503) 366-4611,https://sheriff.columbiacountyor.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Louis County Jail ,County Jail,Both,Minnesota ,Duluth,55811,"4334 Haines Rd,Duluth,MN 55811","P.O. Box 247                                                Phoenix, MD 21131",,(218)726-2345,https://www.stlouiscountymn.gov/departments-a-z/sheriff/jail/jail-roster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cass County Jail Administration,County Jail,Both,Michigan ,Cassopolis,49031,"321 M-62, Cassopolis, MI 49031","321 M-62, Cassopolis, MI 49031",,(269) 445-8644,https://www.casscountymi.org/1520/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis County Sheriff's Office,Sheriff Office,Both,Texas,Austin,78751," 5555 Airport Blvd,Austin,TX 78751","P.O. 1748
Austin, TX 78767",,(512)854-9770,https://www.tcsheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera County Sheriff's Headquarters,Sheriff Office,Both,California,Madera,93637,"2725 Falcon Dr, Madera, CA 93637","2725 Falcon Dr, Madera, CA 93637",,(559) 675-7770,https://oag.ca.gov/fingerprints/locations/madera-county-sheriffs-department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hall County Sheriff’s Office,Sheriff Office,Both,Texas,Memphis,79245,"512 Main St #7, Memphis, TX 79245"," 512 Main St #7, Memphis, TX 79245",,(806) 259-2151,https://www.txsheriffs.org/county_map/county/2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester County Sheriff Office,Sheriff Office,Both,Pennsylvania ,West Chester,19382," 201 W Market St, West Chester, PA 19382"," 201 W Market St, West Chester, PA 19382",,(610) 344-6850,https://www.chesco.org/167/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roscommon County Jail,County Jail,Both,Michigan ,Roscommon,48653,"111 S 2nd St, Roscommon, MI 48653","111 S 2nd St, Roscommon, MI 48653",,(989) 275-9070,https://www.roscommoncounty.net/330/JailInmate-Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntingdon County Jail,County Jail,Both,Pennyslvania,Huntingdon,16654,"1100 Pike Street 
Huntingdon, PA  16654-1112 ","268 Bricker Road 
Bellefonte, PA 16823-1667",,(814) 643-2400,https://www.pa.gov/agencies/cor/state-prisons/sci-huntingdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powder River County Sheriff,Sheriff Office,Both,Montana,Broadus,59317,"1 Courthouse Sq, Broadus, MT 59317","PO Box 200
Broadus, MT 59317",, (406) 436-2333,https://prco.mt.gov/Sheriff-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalkaska County Sheriff,Sheriff Office,Both,Michigan ,Kalkaska,49646,"605 N Birch St, Kalkaska, MI 49646","605 N Birch St, Kalkaska, MI 49646",,(231) 258-8686,https://www.kalkaskasheriff.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guernsey County Sheriff's Office,Sheriff Office,Both,Ohio,Cambridge,43725," 601 Southgate Pkwy, Cambridge, OH 43725"," 601 Southgate Pkwy, Cambridge, OH 43725",, (740) 439-4455,https://guernseysheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodford County Jail ,County Jail,Both,Kentucky,Versailles,40383," 204 Beasley Rd,Versailles,KY 40383","204 Beasley Rd,Versailles,KY 40383",, (859)873-3196,http://www.woodfordcountydetention.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington County Sheriff Office,Sheriff Office,Both,New York,Fort Edward,12828,"399 Broadway, Fort Edward, NY 12828","399 Broadway, Fort Edward, NY 12828",,(518) 746-2476,https://www.washingtoncountyny.gov/214/Corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County New Jersey ,County Jail,Both,New Jersey,Bridgeton,/08302,"60 W Broad St,Bridgeton,NJ 08302","60 W Broad St,Bridgeton,NJ 08302",,(856)453-4860,https://ccclerknj.com/contact-us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren County Sheriff's,Sheriff Office,Both,Iowa,Keosauqua,52565,"907 Broad St,Keosauqua,IA 52565
","PO Box 474
Keosauqua, IA 52565
",,(319)293-3426,https://vanburenia.wixsite.com/vbso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada County Sheriff,Sheriff Office,Both,California,Nevada City,95959,"950 Maldu Ave,Nevada City,CA 95959"," 950 Maldu Ave,Nevada City,CA 95959",,(530)265-1471,https://www.nevadacountyca.gov/4144/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukesha County Sheriff Department,Sheriff Office,Both,Wisconsin,Waukesha,53188,"515 W Moreland Blvd Ac260, Waukesha, WI 53188","515 W Moreland Blvd Ac260, Waukesha, WI 53188",,(262) 548-7117,https://www.waukeshacounty.gov/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarpy County Jail,County Jail,Both,Nebraska,Papillion,68046,"1206 Golden Gate Dr, Papillion, NE 68046","1206 Golden Gate Dr, Papillion, NE 68046",,(402) 949-3876,https://www.sarpy.gov/441/Department-of-Corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland County Sheriffs Office,Sheriff Office,Both,Ohio,Ashland,44805,"1205 E Main St, Ashland, OH 44805","1205 E Main St, Ashland, OH 44805",,(419) 289-3911,https://www.ashlandcountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County Jail,Sheriff Office,Both,Washington,Davenport,99122,"404 Sinclair Street
Davenport, WA 99122","PO Box 367
Davenport, WA 99122",, 509-725-3501,https://www.co.lincoln.wa.us/263/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan County Sheriff's Office,Sheriff Office,Both,Georgia,Madison,30650," 1380 Monticello Rd, Madison, GA 30650"," 1380 Monticello Rd, Madison, GA 30650",,(706) 342-1507,"
https://www.morgancountyga.gov/159/Sheriffs-Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra County Jail,County Jail,Both,New Mexico,Truth or Consequences,87901,"311 N Date St, Truth or Consequences, NM 87901"," 311 N Date St, Truth or Consequences, NM 87901",,(575) 894-0783,https://www.sierraco.org/department/detention-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks County Sheriff's Office,Sheriff Office,Both,Georgia ,Homer,30547,"160 Windmill Farm Rd, Homer, GA 30547"," 160 Windmill Farm Rd, Homer, GA 30547",,(706) 677-2248,https://www.bankscountysheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iredell County Sheriff's Office,Sheriff Office,Both,North Carolina,Statesville,28677,"231 N Tradd St, Statesville, NC 28677"," 231 N Tradd St, Statesville, NC 28677",,(704) 878-3180,https://www.iredellsheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaston County Sheriff’s Office,Sheriff Office,Both,North Carolina,Gastonia,28052,"425 Dr M.L.K. Jr. Way, Gastonia, NC 28052
","425 Dr M.L.K. Jr. Way, Gastonia, NC 28052",,704-869-6800,"​https://www.gastoncountysheriffsoffice.com/inmate-search-disclaimer/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County Sheriff's Office,Sheriff Office,Both,Massachusetts ,Greenfield,1301,"160 Elm St,Greenfield,MA 01301","160 Elm St,Greenfield,MA 01301",,(413)774-4014,"
https://www.fcso-ma.us/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davie County Sheriff's Office,Sheriff Office,Both,North Carolina,Mocksville,27028," 132 Government Center Dr, Mocksville, NC 27028","132 Government Center Dr, Mocksville, NC 27028",, (336) 751-6238,https://dcsonc.com/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lander County Sheriff's Office,Sheriff Office,Both,New Nevada,Battle Mountain,89820,"2 NV-305, Battle Mountain, NV 89820","PO Box 1625
Battle Mountain, Nevada 89820",,(775) 635-5161,https://landerso.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hughes County Sheriff Office,Sheriff Office,Both,South Dakota,Pierre,57501,"3200 E Hwy 34, Suite 9
Pierre, SD 57501","3200 E Hwy 34, Suite 9
Pierre, SD 57501",,(605)773-7470,https://hughescounty.org/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin County Sheriff's Office,Sheriff Office,Both,Texas,McKinney,75071," 4300 Community Ave, McKinney, TX 75071"," 4300 Community Ave, McKinney, TX 75071",, (972) 547-5100,"
https://www.collincountytx.gov/sheriff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia County Jail,County Jail,Both,Georgia,Appling,30802," 2273 County Camp Rd,Appling,GA 30802","2273 County Camp Rd,Appling,GA 30802",,(706) 541-3920,https://gdc.georgia.gov/locations/columbia-county-jail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ste Genevieve County Jail,County Jail,Both,Missouri,Ste. Genevieve,63670," 5 Basler Dr, Ste. Genevieve, MO 63670","5 Basler Dr, Ste. Genevieve, MO 63670",,(573) 883-9896,https://www.stegencounty.gov/sheriffs-office?id=7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athens-Clarke County Jail,County Jail,Both,Georgia,Athens,30605,"3015 Lexington Rd, Athens, GA 30605","3015 Lexington Rd, Athens, GA 30605",,(706) 613-3270,https://www.accgov.com/207/Additional-Jail-Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County Sheriff's Office,Sheriff Office,Both,California,Eureka,95501,"826 4th St, Eureka, CA 95501","826 4th St, Eureka, CA 95501",, (707) 445-7251,https://humboldtgov.org/2545/Sheriffs-Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso County Sheriff's Office,Sheriff Office,Both,Texas,El Paso,79938,"3850 Justice St,El Paso,TX 79938","3850 Justice St,El Paso,TX 79938",,(915)538-2292,"
https://www.epcounty.com/sheriff/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yavapai County Sheriff's Office,Sheriff Office,Both,Arizona,Prescott,86301,"255 E Gurley St
Prescott, AZ 86301","255 E Gurley St
Prescott, AZ 86301",,928-771-3260,https://www.ycsoaz.gov/Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba County Sheriff's Department,Sheriff Office,Both,California,Marysville,95901," 720 Yuba St, Marysville, CA 95901"," 720 Yuba St, Marysville, CA 95901",,(530) 749-7777,"
https://www.yuba.gov/departments/sheriff-coroner/index.php
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Madison County Sheriff's Department
",Sheriff Office,Both,Nebraska,Madison,68748,"1313 N Main St, Madison, NE 68748","P.O. Box 209, Madison, NE 68748",,(402) 454-2110,"
https://madisonsheriffne.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macomb County Sheriff's Office,Sheriff Office,Both,Michigan ,Mt Ciemens,48043,"43565 Elizabeth Rd,Mt Ciemens,MI 48043","43565 Elizabeth Rd,Mt Ciemens,MI 48043",,(586)469-5151,"
https://www.macombgov.org/departments/sheriffs-office",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott County Sheriff's Office,Sheriff Office,Both,Iowa,Davenport,52801," 400 W 4th St,Davenport,IA 52801"," 400 W 4th St,Davenport,IA 52801",,(563)326-8625,https://www.scottcountyiowa.gov/sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit County Sheriff's Office,Sheriff Office,Both,Ohio,Akron,44308,"53 University Ave, Akron, OH 44308","53 University Ave, Akron, OH 44308",,(330) 643-2181,https://sheriff.summitoh.net/home/Home.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas County Sheriff's Office,Sheriff Office,Both,Missouri,Houston,65483," 519 N Grand Ave #101, Houston, MO 65483","519 N Grand Ave #101, Houston, MO 65483",,(417) 967-4165,https://www.texascountymissouri.gov/government/elected-officials/sheriff/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasco County Jail,County Jail,Both,Oregon,Dalles,97058,"201 Webber St, The Dalles, OR 97058","201 Webber St, The Dalles, OR 97058",,(541) 298-1576,https://www.norcor.co/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taney County Sheriffs Office,Sheriff Office,Both,Missouri,Forsyth,65653,"266 Main St, Forsyth, MO 65653"," 266 Main St, Forsyth, MO 65653",,(417) 546-7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
