9781544532899,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
G. Robert Cotton Correctional Facility,State,Michigan,Jackson,49201,"G. Robert Cotton Correctional Facility
3500 N. Elm Road
Jackson, MI 49201","​G. Robert Cotton Correctional Facility
3500 N. Elm Road
Jackson, MI 49201",(517)-780-5000,https://www.michigan.gov/corrections/prisons/g-robert-cotton-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus Harrison Correctional Facility,State,Michigan,Adrian,49221,"Gus Harrison Correctional Facility
2727 East Beecher St.
Adrian, MI 49221","​Gus Harrison Correctional Facility
2727 East Beecher St.
Adrian, MI 49221",(517)-265-3900,https://www.michigan.gov/corrections/prisons/gus-harrison-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionia Correctional Facility,State,Michigan,Ionia,48846,"Ionia Correctional Facility
1576 W. Bluewater Highway
Ionia, MI 48846","Ionia Correctional Facility
1576 W. Bluewater Highway
Ionia, MI 48846",(616)-527-6331,https://www.michigan.gov/corrections/prisons/ionia-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinross Correctional Facility,State,Michigan,Kincheloe,49788,"Kinross Correctional Facility
16770 S. Watertower Drive 
Kincheloe, MI 49788","​Kinross Correctional Facility
16770 S. Watertower Drive 
Kincheloe, MI 49788",(906)-495-2282,https://www.michigan.gov/en/corrections/Prisons/Kinross-Correctional-Facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland Correctional Facility,State,Michigan,Coldwater,49036,"Lakeland Correctional Facility
141 First St.
Coldwater, MI 49036","Lakeland Correctional Facility
141 First St.
Coldwater, MI 49036",(517)-278-6942,https://www.michigan.gov/corrections/prisons/lakeland-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macomb Correctional Facility,State,Michigan,New Haven,48048,"Macomb Correctional Facility
34625 26 Mile Rd.
New Haven, MI 48048","​Macomb Correctional Facility
34625 26 Mile Rd.
New Haven, MI 48048",(586)-749-4900,https://www.michigan.gov/corrections/prisons/macomb-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette Branch Prison,State,Michigan,Marquette,49855,"Marquette Branch Prison
1960 U.S. Hwy. 41 South
Marquette, MI 49855","​Marquette Branch Prison
1960 U.S. Hwy. 41 South
Marquette, MI 49855",(906)-226-6531,https://www.michigan.gov/corrections/prisons/marquette-branch-prison,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan Reformatory,State,Michigan,Ionia,48846,"Michigan Reformatory
1342 W. Main
Ionia, MI 48846","​Michigan Reformatory
1342 W. Main
Ionia, MI 48846",(616)-527-2500,https://www.michigan.gov/corrections/prisons/closed-facilities/michigan-reformatory,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskegon Correctional Facility,State,Michigan,Muskegon,49442,"Muskegon Correctional Facility
2400 S. Sheridan Drive
Muskegon, MI 49442","Muskegon Correctional Facility
2400 S. Sheridan Drive
Muskegon, MI 49442",(231)-773-3201,https://www.michigan.gov/en/corrections/Prisons/Muskegon-Correctional-Facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newberry Correctional Facility,State,Michigan,Newberry,49868,"Newberry Correctional Facility
13747 E. County Road 428 
Newberry, MI 49868","Newberry Correctional Facility
13747 E. County Road 428 
Newberry, MI 49868",(906)-293-6200,https://www.michigan.gov/corrections/prisons/newberry-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaks Correctional Facility,State,Michigan,Manistee,49660,"Oaks Correctional Facility
1500 Caberfae Highway
Manistee, MI 49660","​Oaks Correctional Facility
1500 Caberfae Highway
Manistee, MI 49660",(231)-723-8272,https://www.michigan.gov/corrections/prisons/oaks-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ojibway Correctional Facility,State,Michigan,Marenisco,49947-9771,"Ojibway Correctional Facility
N 5705 Ojibway Road
Marenisco, MI 49947-9771","​Ojibway Correctional Facility
N 5705 Ojibway Road
Marenisco, MI 49947-9771",(906)-787-2217,https://www.michigan.gov/corrections/prisons/closed-facilities/ojibway-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parnall Correctional Facility,State,Michigan,Jackson,49201,"Parnall Correctional Facility
1780 E. Parnall
Jackson, MI 49201","​Parnall Correctional Facility
1780 E. Parnall
Jackson, MI 49201",(517)-780-6004,https://www.michigan.gov/corrections/prisons/parnall-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pugsley Correctional Facility,State,Michigan,Kingsley,49649,"Pugsley Correctional Facility
7401 East Walton Road
Kingsley, MI 49649","​Pugsley Correctional Facility
7401 East Walton Road
Kingsley, MI 49649",(231)-263-5253,https://www.michigan.gov/corrections/prisons/closed-facilities/pugsley-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard A. Handlon Correctional Facility,State,Michigan,Ionia,48846,"Richard A. Handlon Correctional Facility
1728 Bluewater Highway
Ionia, MI 48846","​Richard A. Handlon Correctional Facility
1728 Bluewater Highway
Ionia, MI 48846",(616)-527-3100,https://www.michigan.gov/corrections/prisons/richard-a-handlon-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saginaw Correctional Facility,State,Michigan,Freeland,48623,"Saginaw Correctional Facility
9625 Pierce Rd.
Freeland, MI 48623","​Saginaw Correctional Facility
9625 Pierce Rd.
Freeland, MI 48623",(989)-695-9880,https://www.michigan.gov/corrections/prisons/saginaw-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Alternative Incarceration Facility,State,Michigan,Chelsea,48118,"Special Alternative Incarceration Facility
18901 Waterloo Rd.
Chelsea, MI 48118","​Special Alternative Incarceration Facility
18901 Waterloo Rd.
Chelsea, MI 48118",(734)-475-1368,https://www.michigan.gov/corrections/prisons/special-alternative-incarceration-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumb Correctional Facility,State,Michigan,Lapeer,48446,"Thumb Correctional Facility
3225 John Conley Drive
Lapeer, MI 48446","Thumb Correctional Facility
3225 John Conley Drive
Lapeer, MI 48446",(810)-667-2045,https://www.michigan.gov/corrections/prisons/thumb-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Shoreline Correctional Facility,State,Michigan,Lapeer,48446,"Thumb Correctional Facility
3225 John Conley Drive
Lapeer, MI 48446","​Thumb Correctional Facility
3225 John Conley Drive
Lapeer, MI 48446",(810)-667-2045,https://www.michigan.gov/corrections/prisons/closed-facilities/west-shoreline-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Huron Valley Correctional Facility,State,Michigan,Ypsilanti,48197-0911,"Women's Huron Valley Correctional Facility
3201 Bemis Road
Ypsilanti, MI 48197-0911","​Women's Huron Valley Correctional Facility
3201 Bemis Road
Ypsilanti, MI 48197-0911",(734)-572-9900,https://www.michigan.gov/corrections/prisons/womens-huron-valley-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodland Center Correctional Facility,State,Michigan,Whitmore Lake,48189,"Woodland Center Correctional Facility
9036 E. M-36
Whitmore Lake, MI 48189","​Woodland Center Correctional Facility
9036 E. M-36
Whitmore Lake, MI 48189",(734)-449-3320,https://www.michigan.gov/corrections/prisons/woodland-center-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
